review,sentiment
The product quality is excellent and delivery was prompt,1
I am very disappointed with the purchase,0
Amazing service and user-friendly website,1
This is the worst item I have ever bought,0
"I love this product, totally worth the money",1
"Not satisfied with the service, wonâ€™t buy again",0
"Great value for the price, will recommend to friends",1
Terrible quality and bad customer support,0
Very happy with the packaging and speed of delivery,1
"Bad experience, received a damaged product",0
